date,Canberra,Sydney,Melbourne
1912,21.4,21.4,17.3
1913,20.9,21.6,18.9
1914,22.5,22,18.9
1915,20.8,21.9,18.9
1916,20.2,21.1,17.3
1917,19.3,21,17.4
1918,20.1,21.8,18.9
1919,21.8,22.6,17.4
1920,20.2,21.7,18.9
1921,20.8,22.2,18.9
1922,21,22.5,17.3
1923,20.7,22.4,18.9
1924,19.3,21.8,17.4
1925,19.5,21.4,18.9
1926,18.4,22.5,18.9
1927,19.6,21.2,17.4
1928,20.5,22.4,18.9
1929,20.5,21.4,17.3
1930,21.1,21.4,18.9
1931,20.2,21.6,17.4
1932,20.7,21.5,17.3
1933,20.8,20.9,17.3
1934,20.6,21.3,18.9
1935,19.9,21.7,18.9
1936,20.1,21.7,17.3
1937,20.7,21.6,17.4
1938,20.7,22.1,18.9
1939,20.7,21.9,17.3
1940,21.5,22.2,18.9
1941,19.8,21.6,17.3
1942,19.9,21.7,17.4
1943,20.1,20.6,17.4
1944,21,21.6,19.4
1945,20.3,21.4,18.9
1946,19.6,21.8,18.5
1947,19.6,21.6,19.7
1948,19.3,21.3,19
1949,19.2,21.3,18
1950,19.6,21.4,19.1
1951,19.5,21.8,19.4
1952,19.4,21.5,18.4
1953,19.5,21.7,19.2
1954,20,21.7,19.1
1955,19.6,21.8,19
1956,18.8,21.6,18.9
1957,19,22.1,19.7
1958,18.2,22.2,18.9
1959,18.5,21.8,19.9
1960,19.9,21.6,19.2
1961,19.3,21.8,20.9
1962,19.2,21.9,19.9
1963,19.9,21.7,19.5
1964,20.1,22.3,19.1
1965,20.8,22.1,19.9
1966,19.5,21.6,19.3
1967,19.6,21.7,20
1968,20.1,22.6,20.1
1969,19.7,22.1,19.6
1970,19.6,22,19.3
1971,19.7,21.9,20
1972,20.6,21.9,20.5
1973,20.4,22.7,20
1974,19.5,21.7,19.8
1975,20.4,22.5,19.8
1976,20,22.1,19.8
1977,20.7,22.7,19.7
1978,19.8,21.8,19.2
1979,20.9,22.4,20.3
1980,21.2,23,20.6
1981,20.5,22.1,20.6
1982,21.6,22.2,20.7
1983,20,22.2,19.3
1984,19.5,22,19.4
1985,20.3,22,19.6
1986,20,22.2,19.1
1987,20.5,22.2,19.3
1988,21.2,22.8,20.3
1989,20,22.1,19.5
1990,21,22.3,20
1991,21.1,22.8,19.5
1992,19.6,21.5,18.6
1993,20.9,22.3,19.6
1994,21,22.6,19.6
1995,20,21.8,18.6
1996,20.1,22.1,18.7
1997,20.2,22.4,19.8
1998,21.5,22.7,19.4
1999,21.4,22.1,20
2000,21.1,22.7,20.1
2001,22.5,23.1,19.8
2002,22.9,23.1,20.3
2003,21.9,22.7,20.1
2004,22.4,23.4,19.6
2005,22.5,23.4,20.9
2006,23.7,23.1,20.2
2007,22.8,22.7,21.3
2008,21.7,22.1,20.4
2009,22.9,22.9,20.9
2010,21.3,22.6,20.1
2011,20.9,22.6,19.8
2012,21.2,22.7,20.1
2013,22.9,23.7,20.7
2014,23.6,23.5,20.9
2015,21.6,23.2,20.5
2016,22,23.8,20.3
2017,22,23.7,20.8
2018,22.8,23.4,20.9
2019,23.2,24,21
